,workID,OT,Ticket,NAP,Inconveniente,Fase,Coordenadas,Ingreso,Clientes Afectados,Demora,Prioridad,Team,Cuadrilla,Departamento,Ciudad,Barrio,Estado,Resolucion,Motivo,Afectacion
0,19806,1655213,338864,00MBO-MK-C035-S036-A-E7 AL C2-E0,CORTE DE FO,EDIFICIO,"-25.263875, -57.573617",11-03-2023,9,89,,,HANSA,,ASUNCION,,PENDIENTE,,,
1,19817,1655581,338923,ADECUACION EN ZONA,ADECUACION,FASE1,-25.3318945 -57.591704,11-03-2023,0,89, , ,AINTECH, ,ASUNCION, ,PENDIENTE,, ,0.0
2,19824,1655875,338955,11LUQ-TBL-C013-S013-A AL C,ALTA ATENUACIÓN,FASE1,"-25.278794, -57.477336",12-03-2023,2,88,,,HANSA,,LUQUE,,PENDIENTE,,,
3,19825,1655915,338964,113B2-SRO-S019-A3 AL A4,CORTE DE FO,FASE2,"-25.349762, -57.59659",12-03-2023,6,88,,,HANSA,,LAMBARE,,PENDIENTE,,,
4,19828,1656013,338989,11SJS-SPA-C076-S076-D,ADECUACION,FASE1,"-25.331771, -57.58563",12-03-2023,1,88,,,HANSA,,ASUNCION,,PENDIENTE,,,
5,19832,1656208,339046,11LUQ-2BA-C050-S050-A AL C,CORTE DE FO,FASE1,"-25.255173, -57.484941",13-03-2023,10,87,,,HANSA,,LUQUE,,PENDIENTE,,,
6,19837,1656512,339318,RGAAE10A3 AL A4,ALTA ATENUACIÓN,FASE5,"-25.284589, -57.415776",13-03-2023,1,87,,,HANSA,,AREGUA,,PENDIENTE,,,
7,19843,1656937,339658,03SBE-A-YV2-S008-B1,ADECUACIÓN,FASE3,"-25.314100, -57.288100",14-03-2023,3,86,,,HANSA,,SAN BERNARDINO,,PENDIENTE,,,
8,19845,1656980,339685,DEAAR03A1 AL B4,CORTE DE FO,FASE4,"-25.221719, -57.494822",13-03-2023,43,87,,,HANSA,,LUQUE,,PENDIENTE,,,
9,19847,1657024,339721,HRSAG02C3,CORTE DE FO,FASE4,-25.398046 -54.644642,13-03-2023,1,87,,,HANSA INT,,HERNANDARIAS,,PENDIENTE,,,
10,19848,1657138,339790,ATAAF06B4,ALTA ATENUACION,FASE5,-25.776239 -55.073261,13-03-2023,1,87,,,HANSA INT,,SANTA RITA,,PENDIENTE,,,
11,19850,1657379,339900,11LUQ-TBL-C063-S063-A AL D,CORTE DE FO,FASE1,"-25,26899656, -57,49137175",13-03-2023,20,87,,,HANSA,,LUQUE,,PENDIENTE,,,
12,19851,1657388,339901,BAGAN07B2,ALTA ATENUACION,FASE4,-25.38729 -57.464612,13-03-2023,1,87,,,TEAM NUCLEO,,CAPIATA,,PENDIENTE,,,
13,19852,1657532,339929,11SLO-LMS-C005-S005-A,CORTE DE FO,FASE1,-25.333397 -57.488197,13-03-2023,7,87,,,TEAM NUCLEO,,SAN LORENZO,,PENDIENTE,,,
14,19853,1657535,339931,11SLO-SAN-C008-S008-B,CORTE DE FO,FASE1,-25.35885 -57.497136,13-03-2023,4,87,,,TEAM NUCLEO,,SAN LORENZO,,PENDIENTE,,,
15,19854,1657637,339942,11CPT-TOR-S027-A1 AL A4,CORTE DE FO,FASE3,-25.357418 -57.477305,13-03-2023,9,87,,,TEAM NUCLEO,,CAPIATA,,PENDIENTE,,,
16,19855,1657684,339950,00SVI-REP-C048-S048-A AL D,CORTE DE FO,FASE1,"-25.322218, -57.642569",14-03-2023,55,86,,,HANSA,,ASUNCION,,PENDIENTE,,,
17,19856,1657704,339967,11DSA-DSA-C007-S007-A AL D,CORTE DE FO,FASE1,"-25.332271, -57.528927",14-03-2023,19,86,,,HANSA,,FERNANDO DE LA MORA,,PENDIENTE,,,
18,19857,1657767,340047,11LA2-BOG-S067-A1 AL A3,CORTE DE FO,FASE2,"-25.281481, -57.486947",14-03-2023,4,86,,,TEAM NUCLEO,,LUQUE,,PENDIENTE,,,
19,19859,1658262,340403,ADECUACIÓN EN ZONA ,ADECUACION,FASE1,-25.312329 -57.576318,14-03-2023,0,86, , ,AINTECH, ,ASUNCION, ,PENDIENTE,, ,0.0
20,19863,1660943,342046,ADECUACION ISLA BOGADO - LUQ,ADECUACION,FASE2,-25.3021293 -57.4911241,16-03-2023,0,84, , ,AINTECH, ,LUQUE, ,PENDIENTE,, ,0.0
21,19864,1661417,342348,ADECUACIÓN EN ZONA ,ADECUACION,FASE,-26.8911 -57.0359,16-03-2023,0,84, , ,DUNKEL INT, ,SAN IGNACIO, ,PENDIENTE,, ,0.0
22,19865,1661428,342362,ADECUACIÓN EN ZONA ,ADECUACION,FASE,-25.3034 -57.2927,16-03-2023,0,84, , ,HANSA, ,SAN BERNARDINO, ,PENDIENTE,, ,0.0
23,19866,1661460,342403,ADECUACIÓN EN ZONA ,ADECUACION,FASE,-22.5470339 -55.752536,16-03-2023,0,84, , ,BULLS INT, ,PJC, ,PENDIENTE,, ,0.0
24,19867,1661573,342451,ADECUACIÓN EN ZONA ,ADECUACION,FASE,-25.3293 -57.2677,16-03-2023,0,84, , ,HANSA, ,SAN BERNARDINO, ,PENDIENTE,, ,0.0
25,19870,1000000,1000000,ADECUACIÓN EN ZONA,Corte de FO,1,"-25.263875, -57.573617",03-04-2023,4,66,1,2,Juan Medina,Central,SAN LORENZO,Ykua Sati,Pendiente,,Corte de SFC,4.0
